checklist,SH,kingdom,phylum,class,order,family,genus,binom,qualifier,qualifierNumber
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Polyozellus,Polyozellus vepallidosporus,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Pseudohydnum,Pseudohydnum gelatinosum,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Sistotremastrales,Sistotremastraceae,Sistotremastrum,Sistotremastrum suecicum,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora atra,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella fuscocinerea,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Sistotremataceae,Trechispora,Trechispora microspora,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Tubulicrinis,Tubulicrinis borealis,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Tubulicrinis,Tubulicrinis subulatus,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora asterophora,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Russulales,Xenasmataceae,Xenasmatella,Xenasmatella vaga,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon asper,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon borealis,,
wood decay survey,,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Xylodon brevisetus,,
